City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
194,Coihaique,CL,-45.5752,-72.0662,44.55,61,75,6.91,broken clouds
195,Bomet,KE,-0.7813,35.3416,57.76,87,100,2.04,overcast clouds
196,Ingham,US,42.6,-84.3833,66.38,94,90,6.91,overcast clouds
197,Hasaki,JP,35.7333,140.8333,73.29,70,10,15.32,clear sky
198,Vinh Long,VN,10.25,105.9667,78.78,89,100,4.63,overcast clouds
199,Hilo,US,19.7297,-155.09,82.26,82,85,1.99,overcast clouds
200,Rio Gallegos,AR,-51.6226,-69.2181,44.4,65,95,23.2,overcast clouds
201,Airai,TL,-8.9266,125.4092,71.11,59,37,2.57,scattered clouds
202,Khatanga,RU,71.9667,102.5,14.81,97,63,1.41,broken clouds
203,Dhidhdhoo,MV,6.8833,73.1,82.78,76,100,16.02,overcast clouds
204,Artesia,US,33.8658,-118.0831,98.31,25,1,8.01,clear sky
205,Tiksi,RU,71.6872,128.8694,26.02,87,65,14.7,broken clouds
206,Moerai,PF,-22.4333,-151.3333,76.08,72,67,6.6,broken clouds
207,Zhangye,CN,38.9342,100.4517,47.64,33,60,13.31,broken clouds
208,Halifax,CA,44.6453,-63.5724,53.01,88,87,3.94,overcast clouds
209,Mahebourg,MU,-20.4081,57.7,71.26,73,69,13.85,light rain
210,Harper,LR,4.375,-7.7169,77.58,83,87,5.77,overcast clouds
211,Half Moon Bay,US,37.4636,-122.4286,93.92,31,1,13.8,clear sky
212,Fairbanks,US,64.8378,-147.7164,35.6,95,90,1.01,light snow
213,Asosa,ET,10.0667,34.5333,61.2,94,100,2.46,light rain
214,Makakilo City,US,21.3469,-158.0858,83.61,67,90,9.22,overcast clouds
215,Ondangwa,NA,-17.9167,15.95,61.45,11,15,6.89,few clouds
216,Ladnun,IN,27.65,74.3833,82.24,64,6,6.96,clear sky
217,Alice Springs,AU,-23.7,133.8833,67.55,40,0,11.5,clear sky
218,Suluq,LY,31.6682,20.2521,68.52,62,0,7.85,clear sky
219,Nandgaon,IN,20.3167,74.65,74.88,90,100,3.76,overcast clouds
220,East London,ZA,-33.0153,27.9116,54.1,58,34,18.68,scattered clouds
221,Jalalabad,AF,34.4265,70.4515,78.51,70,1,0.4,clear sky
222,Geraldton,AU,-28.7667,114.6,61.21,88,75,8.05,broken clouds
223,Les Cayes,HT,18.2,-73.75,79.81,76,13,4.85,few clouds
224,Loandjili,CG,-4.7561,11.8578,75.56,87,71,8.28,broken clouds
225,Galeana,MX,24.8333,-100.0667,64.31,89,99,4.38,overcast clouds
226,Lorengau,PG,-2.0226,147.2712,85.1,64,100,5.06,overcast clouds
227,Birao,CF,10.2849,22.7882,72.21,87,95,4.52,overcast clouds
228,Taltal,CL,-25.4,-70.4833,59.79,73,22,5.06,few clouds
229,Dhanwar,IN,24.4167,85.9833,72.75,88,98,9.37,overcast clouds
230,Ormara,PK,25.2088,64.6357,82.35,77,79,5.57,broken clouds
231,Hay River,CA,60.8156,-115.7999,51.78,71,75,10.36,light rain
232,Aksu,CN,41.1231,80.2644,56.73,29,49,14.09,scattered clouds
233,Dwarka,IN,22.2394,68.9678,80.96,83,97,4.29,overcast clouds
234,Cao Bang,VN,22.6667,106.25,76.35,89,91,1.54,overcast clouds
235,Victor Harbor,AU,-35.5667,138.6167,60.89,86,98,3.0,overcast clouds
236,Broken Hill,AU,-31.95,141.4333,71.31,30,96,17.27,overcast clouds
237,Saskylakh,RU,71.9167,114.0833,19.51,97,99,3.8,overcast clouds
238,Makokou,GA,0.5738,12.8642,69.01,99,66,2.95,broken clouds
239,Grindavik,IS,63.8424,-22.4338,41.47,75,75,23.02,broken clouds
240,Borba,BR,-4.3878,-59.5939,73.74,98,92,6.29,moderate rain
241,Shimoda,JP,34.6667,138.95,74.1,68,27,14.63,scattered clouds
242,Havoysund,NO,70.9963,24.6622,52.68,83,78,14.12,broken clouds
243,Kulhudhuffushi,MV,6.6221,73.07,82.85,76,100,15.5,overcast clouds
244,Hualmay,PE,-11.0964,-77.6139,62.73,85,42,7.47,scattered clouds
245,Portland,US,45.5234,-122.6762,75.16,50,1,1.01,clear sky
246,Bandarbeyla,SO,9.4942,50.8122,79.29,80,57,19.86,broken clouds
247,Castro,BR,-24.7911,-50.0119,60.1,99,100,2.33,overcast clouds
248,Cidreira,BR,-30.1811,-50.2056,63.07,77,94,9.95,overcast clouds
249,Aripuana,BR,-9.1667,-60.6333,73.4,95,70,5.19,broken clouds
250,Khani,GE,41.9563,42.9566,53.17,81,45,3.91,scattered clouds
251,Arraial Do Cabo,BR,-22.9661,-42.0278,71.94,90,99,7.65,overcast clouds
252,Kadoma,JP,34.7333,135.5833,73.94,64,0,3.4,clear sky
253,Witu,KE,-2.3889,40.4382,75.36,90,93,7.99,overcast clouds
254,Belyy Yar,RU,53.6039,91.3903,35.49,69,0,11.18,clear sky
255,Contamana,PE,-7.3333,-75.0167,81.72,60,49,2.62,scattered clouds
256,Clyde River,CA,70.4692,-68.5914,36.91,87,100,5.37,overcast clouds
257,Ndioum,SN,16.5129,-14.6471,89.53,45,82,5.32,broken clouds
258,Utrecht,NL,52.0,5.25,63.21,93,100,11.01,overcast clouds
259,Kysyl-Syr,RU,63.8986,122.7617,30.87,69,22,3.74,few clouds
260,Angoche,MZ,-16.2325,39.9086,74.39,82,1,13.49,clear sky
261,Bucerias,MX,20.75,-105.3333,86.99,78,64,4.14,broken clouds
262,Thunder Bay,CA,48.4001,-89.3168,60.3,100,90,8.05,light rain
263,Tomatlan,MX,19.9333,-105.25,82.22,82,51,4.47,broken clouds
264,Husavik,IS,66.0449,-17.3389,41.09,98,100,25.57,overcast clouds
265,Torbay,CA,47.6666,-52.7314,55.27,88,40,8.05,scattered clouds
266,Mantua,IT,45.1667,10.7833,67.28,87,77,3.0,broken clouds
267,Bay Roberts,CA,47.5999,-53.2648,56.03,94,100,1.99,overcast clouds
268,Twentynine Palms,US,34.1356,-116.0542,91.26,8,41,1.01,scattered clouds
269,Igrim,RU,63.1906,64.4162,29.43,91,21,6.22,few clouds
270,San Buenaventura,MX,27.0833,-101.5333,82.11,68,99,9.55,overcast clouds
271,Egvekinot,RU,66.3167,-179.1667,17.15,91,39,3.04,scattered clouds
272,Methoni,GR,36.8197,21.7049,66.22,63,48,6.44,scattered clouds
