City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
327,Port Lavaca,US,83.3,clear sky,28.615,-96.6261,Holiday Inn Express & Suites Port Lavaca
328,Bin Qirdan,TN,74.88,clear sky,33.1378,11.2197,Hôtel Palace
330,Oistins,BB,82.62,few clouds,13.0667,-59.5333,Butterfly Beach Hotel
331,Jiangdu,CN,80.89,scattered clouds,32.4286,119.5574,Super 8 Hotel （Jiangdu Xiancheng Branch） Parking Lot
332,Saint-Georges,GD,83.88,haze,12.0564,-61.7485,Radisson Grenada Beach Resort
335,Tooele,US,72.97,clear sky,40.5308,-112.2983,"Holiday Inn Express & Suites Tooele, an IHG Hotel"
336,Kindu,CD,68.94,overcast clouds,-2.95,25.95,Résidence Okanda
337,Anito,PH,80.87,overcast clouds,12.4497,125.2886,FELIPA LAODENIO PROPERTY
338,Isiro,CD,65.28,overcast clouds,2.7739,27.616,Guest House Hewa Bora
339,Ciro Marina,IT,68.56,overcast clouds,39.3732,17.126,Hotel Miramare
340,North Bend,US,70.25,clear sky,43.4065,-124.2243,Red Lion Hotel Coos Bay
341,Zlobin,HR,51.62,clear sky,45.2924,14.6541,Hotel Bitoraj Fuzine
342,Teguise,ES,68.22,few clouds,29.0605,-13.564,B&B La Casona de Nazaret
346,Maneadero,MX,86.18,overcast clouds,31.7167,-116.5667,Casa De Thompson
347,Port Hedland,AU,77.05,clear sky,-20.3167,118.5667,The Esplanade Hotel
351,Gasa,PS,72.18,clear sky,31.5,34.4667,رابطة الفنانين الفلسطينيين
352,San Patricio,US,84.92,overcast clouds,28.017,-97.5169,"Motel 6 Sinton, TX"
353,Andenes,NO,53.08,overcast clouds,69.3143,16.1194,Hotell Marena
355,Kroya,ID,77.07,overcast clouds,-7.6331,109.2461,RUSTANTO Fam
357,Nemuro,JP,63.03,scattered clouds,43.3236,145.575,Hotel Nemuro Kaiyoutei
359,Lubigan,PH,80.28,overcast clouds,13.742,122.9373,Tito Antolin Spring Resort
360,Jaque,PA,78.78,light rain,7.5175,-78.1703,Imbu Bua Lodge
362,Ballina,AU,76.78,scattered clouds,-28.8667,153.5667,Ramada Hotel & Suites by Wyndham Ballina Byron
363,Susangerd,IR,88.43,clear sky,31.5608,48.1831,دفتر خدمات هوایی وجهانگردی نسیم گستر دشت آزادگان
367,Richards Bay,ZA,65.12,light rain,-28.783,32.0377,BON Hotel Waterfront Richards Bay
369,Vieste,IT,69.64,overcast clouds,41.8825,16.175,Hotel Falcone
370,Kamaishi,JP,66.94,clear sky,39.2667,141.8833,Hotel Route Inn Kamaishi
371,Dicabisagan,PH,81.23,overcast clouds,17.0818,122.4157,Nancy Montanes Bernardo
373,Cascais,PT,69.51,broken clouds,38.6979,-9.4215,Hotel Vila Galé Cascais
375,Mozarlandia,BR,87.13,scattered clouds,-14.7447,-50.5706,Hotel Santa Mônica
376,Pangkalanbuun,ID,77.7,overcast clouds,-2.6833,111.6167,Grand Kecubung Hotel
377,Kutum,SD,76.95,broken clouds,14.2,24.6667,Dibbo areaمنطقة دبو
378,Coos Bay,US,70.32,clear sky,43.3665,-124.2179,Best Western Holiday Hotel
379,Korem,ET,56.68,overcast clouds,12.5058,39.5228,Lakomeliza Hotel
380,Matamoros,MX,84.31,broken clouds,25.5333,-103.25,Quinta Belem
381,Fare,PF,79.36,clear sky,-16.7,-151.0167,Maitai Lapita Village Huahine
382,Sur,OM,84.49,overcast clouds,22.5667,59.5289,Sur Plaza Hotel
383,Cairo,EG,74.71,broken clouds,30.0626,31.2497,Grand Hotel
384,Frankfurt,DE,68.04,clear sky,50.1167,8.6833,Hotel Scala
